                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1148,                 3.4309,                 1.5253,                      0,                      0,                      0,                      0,                 2.5088,                 6.2684,                 2.7025,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                 0.9228,                 3.6355,                 1.4413,                      0,                      0,                      0,                      0,                 2.5088,                 6.2684,                 2.7025,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                   1.08,                 3.7108,                 1.7214,                      0,                      0,                      0,                      0,                 2.5295,                 6.2748,                 2.7209,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.93083,                 3.3096,                 1.4506,                      0,                      0,                      0,                      0,                 2.5295,                 6.2748,                 2.7209,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.91264,                 3.3101,                  1.467,                      0,                      0,                      0,                      0,                 2.5612,                 6.2923,                 2.7254,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.82338,                 2.9288,                  1.394,                      0,                      0,                      0,                      0,                 2.5612,                 6.2923,                 2.7254,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.83955,                 3.0391,                 1.4301,                      0,                      0,                      0,                      0,                 2.5919,                  6.304,                 2.7354,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.92094,                 3.3222,                 1.5655,                      0,                      0,                      0,                      0,                 2.5919,                  6.304,                 2.7354,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.1923,                 3.4309,                 1.7973,                      0,                      0,                      0,                      0,                 2.6064,                 6.3196,                 2.7555,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 1.3115,                 3.3418,                 1.8022,                      0,                      0,                      0,                      0,                 2.6064,                 6.3196,                 2.7555,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.93048,                 2.7415,                  1.387,                      0,                      0,                      0,                      0,                 2.6055,                 6.3243,                 2.7531,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 1.2148,                 3.3563,                  1.765,                      0,                      0,                      0,                      0,                 2.6055,                 6.3243,                 2.7531,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.97734,                 2.9824,                 1.5238,                      0,                      0,                      0,                      0,                 2.5974,                  6.355,                 2.7732,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 1.2308,                 2.9378,                 1.4652,                      0,                      0,                      0,                      0,                 2.5974,                  6.355,                 2.7732,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                  1.023,                 2.3853,                 1.3588,                      0,                      0,                      0,                      0,                 2.5965,                 6.3868,                 2.7599,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 1.2928,                 2.4967,                 1.4694,                      0,                      0,                      0,                      0,                 2.5965,                 6.3868,                 2.7599,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 1.0067,                 2.6699,                 1.3899,                      0,                      0,                      0,                      0,                 2.5917,                 6.4014,                 2.7547,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.89766,                 2.7842,                 1.5183,                      0,                      0,                      0,                      0,                 2.5917,                 6.4014,                 2.7547,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 1.0122,                 2.7012,                 1.5632,                      0,                      0,                      0,                      0,                 2.5917,                 6.4014,                 2.7547,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.87253,                 2.9602,                 1.5075,                      0,                      0,                      0,                      0,                 2.5898,                 6.4495,                 2.7766,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 1.3222,                 2.4556,                 1.5282,                      0,                      0,                      0,                      0,                 2.5898,                 6.4495,                 2.7766,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.77235,                  2.276,                 1.1805,                      0,                      0,                      0,                      0,                 2.5898,                 6.4495,                 2.7766,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                  1.218,                 3.1116,                 1.8264,                      0,                      0,                      0,                      0,                 2.6006,                 6.4817,                 2.7841,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 1.1178,                 2.4195,                 1.5022,                      0,                      0,                      0,                      0,                 2.6006,                 6.4817,                 2.7841,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.78128,                 2.1899,                 1.3777,                      0,                      0,                      0,                      0,                 2.6006,                 6.4817,                 2.7841,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 1.0458,                 2.5721,                 1.6527,                      0,                      0,                      0,                      0,                 2.6219,                 6.5273,                 2.7984,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 1.1723,                 2.7695,                 1.8161,                      0,                      0,                      0,                      0,                 2.6219,                 6.5273,                 2.7984,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.99938,                 2.1603,                 1.3029,                      0,                      0,                      0,                      0,                 2.6219,                 6.5273,                 2.7984,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 0.9059,                 2.5007,                 1.5194,                      0,                      0,                      0,                      0,                 2.6386,                 6.5778,                 2.8031,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.85856,                  2.286,                 1.4981,                      0,                      0,                      0,                      0,                 2.6386,                 6.5778,                 2.8031,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                 1.0745,                 2.2243,                 1.4842,                      0,                      0,                      0,                      0,                 2.6386,                 6.5778,                 2.8031,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 1.0868,                   2.35,                 1.6229,                      0,                      0,                      0,                      0,                 2.6485,                  6.615,                 2.8149,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 1.0503,                 2.3442,                 1.6479,                      0,                      0,                      0,                      0,                 2.6485,                  6.615,                 2.8149,             2.7222e-05,             2.7222e-05,             2.7222e-05
